4 2 6 24 1
49 10 5 12.5 17.5
22.5 27.5 32.5 37.5 42.5
47.5 52.5 57.5 62.5 67.5
72.5 77.5 82.5 87.5 92.5
97.5 102.5 107.5 112.5 117.5
122.5 127.5 132.5 137.5 142.5
147.5 152.5 157.5 162.5 167.5
172.5 177.5 182.5 187.5 192.5
197.5 202.5 207.5 212.5 217.5
222.5 227.5 232.5 237.5 242.5
247.5 252.5 1350 1350 1350
1350 1350 1350 1350 1350
1350 1350 1440 1440 1440
1440 1440 1440 1440 1440
1440 1440 1440 1440 1440
1440 20 20 0.142 0.018
0 0 0 0 0
0 0 0.004 0.012 0.038
0.036 0.052 0.036 0.008 0.002
0 0.002 0.012 0.022 0.046
0.05 0.028 0.01 0.004 0.016
0.03 0.038 0.042 0.018 0.026
0.032 0.036 0.042 0.03 0.032
0.06 0.042 0.024 0.008 0.002
0 0 0 0 0
0 0 0 0.002 0.02
0.062 0.068 0.026 0.002 0
0 0 0 0 0.004
0.01 0.036 0.068 0.048 0.02
0 0.002 0.002 0.012 0.018
0.036 0.036 0.026 0.018 0.006
0.03 0.046 0.036 0.03 0.024
0.022 0.036 0.052 0.044 0.04
0.048 0.044 0.016 0.01 0
0 0 0 0 0
0 0 0 0 0
0.006 0.016 0.044 0.036 0.024
0.016 0.002 0 0 0
0.004 0.02 0.016 0.048 0.036
0.018 0.008 0.002 0.008 0.012
0.022 0.028 0.04 0.026 0.014
0.02 0.044 0.054 0.04 0.042
0.036 0.038 0.068 0.048 0.052
0.076 0.032 0.004 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0.006 0.016 0.044
0.058 0.032 0.012 0.002 0
0 0.006 0.016 0.03 0.048
0.054 0.03 0.01 0.002 0.004
0.014 0.048 0.046 0.024 0.018
0.004 0.02 0.038 0.052 0.028
0.034 0.042 0.052 0.066 0.06
0.042 0.032 0.008 0.002 0
0 0 0 0 0.156
0.038 0 0 0 0
0 0 0.002 0 0.008
0.026 0.04 0.024 0.016 0.01
0.002 0 0.006 0.016 0.022
0.034 0.056 0.032 0.014 0.008
0.014 0.032 0.048 0.04 0.038
0.026 0.022 0.03 0.046 0.042
0.032 0.054 0.034 0.018 0.014
0 0 0 0 0
0 0 0 0 0
0.006 0.066 0.07 0.024 0.002
0 0 0 0 0.002
0.008 0.02 0.04 0.05 0.046
0.02 0.006 0.002 0.004 0.006
0.03 0.04 0.026 0.028 0.01
0.012 0.02 0.036 0.046 0.044
0.018 0.016 0.054 0.042 0.056
0.026 0.048 0.036 0.03 0.01
0 0 0 0 0
0 0 0 0 0
0 0.002 0.016 0.048 0.072
0.02 0.006 0.002 0 0
0.004 0.002 0.012 0.042 0.048
0.028 0.028 0.012 0 0.004
0.01 0.04 0.062 0.034 0.012
0.008 0.012 0.032 0.038 0.042
0.038 0.016 0.046 0.048 0.046
0.046 0.054 0.042 0.02 0.006
0.002 0 0 0 0
0 0 0 0 0
0.002 0 0.004 0.006 0.032
0.054 0.056 0.034 0.012 0.002
0 0 0 0.01 0.028
0.04 0.042 0.038 0.014 0.004
0.018 0.01 0.034 0.042 0.04
0.012 0.01 0.022 0.042 0.038
0.036 0.046 0.05 0.048 0.036
0.048 0.036 0.034 0.016 0.004
0 0 0 0 0
0.124 0.034 0 0 0
0 0 0 0.002 0
0.012 0.034 0.032 0.056 0.026
0.006 0.004 0 0 0.004
0.028 0.038 0.058 0.024 0.016
0.004 0.012 0.012 0.038 0.042
0.026 0.02 0.02 0.052 0.052
0.054 0.044 0.058 0.042 0.016
0.01 0 0 0 0
0 0 0 0 0
0 0.018 0.072 0.064 0.028
0.006 0 0 0 0
0.002 0.01 0.018 0.042 0.036
0.04 0.022 0.008 0.006 0.006
0.018 0.028 0.03 0.052 0.016
0.004 0.012 0.022 0.05 0.046
0.032 0.012 0.028 0.03 0.046
0.042 0.048 0.042 0.034 0.024
0.006 0 0 0 0
0 0 0 0 0
0 0 0 0.012 0.042
0.07 0.042 0.004 0 0
0 0 0.002 0.008 0.026
0.04 0.036 0.02 0.008 0
0.008 0.01 0.03 0.042 0.06
0.016 0.008 0.006 0.038 0.044
0.05 0.038 0.028 0.044 0.046
0.068 0.05 0.036 0.038 0.018
0.01 0.002 0 0 0
0 0 0 0 0
0 0 0 0 0.002
0.028 0.04 0.044 0.034 0.01
0.002 0 0 0.014 0.008
0.038 0.054 0.03 0.02 0.014
0.004 0.006 0.02 0.054 0.044
0.04 0.018 0.016 0.03 0.028
0.044 0.024 0.038 0.04 0.05
0.07 0.052 0.054 0.022 0.002
0.006 0 0 0 0
0 0.136 0.03 0.002 0
0 0 0 0 0
0 0.004 0.044 0.054 0.046
0.022 0.008 0.002 0.002 0.008
0.01 0.026 0.034 0.048 0.04
0.012 0.006 0.01 0.02 0.05
0.032 0.028 0.022 0.02 0.038
0.054 0.026 0.046 0.04 0.038
0.034 0.008 0 0 0
0 0 0 0 0
0 0 0.014 0.086 0.068
0.018 0.002 0 0 0
0 0.002 0.004 0.012 0.028
0.062 0.03 0.014 0.002 0.004
0 0.016 0.028 0.056 0.034
0.022 0.012 0.004 0.026 0.026
0.038 0.03 0.016 0.046 0.058
0.046 0.042 0.052 0.038 0.028
0.022 0.012 0.002 0 0
0 0 0 0 0
0 0 0 0.002 0.006
0.04 0.074 0.052 0.01 0
0 0 0 0.008 0.016
0.036 0.04 0.038 0.014 0.004
0.008 0.004 0.01 0.032 0.04
0.05 0.026 0.01 0.016 0.036
0.044 0.04 0.03 0.018 0.044
0.042 0.054 0.038 0.052 0.044
0.014 0.006 0.002 0 0
0 0 0 0 0
0 0 0 0 0.002
0.002 0.018 0.05 0.068 0.032
0.008 0 0 0 0
0.016 0.032 0.052 0.056 0.024
0.014 0.004 0.004 0.022 0.016
0.05 0.034 0.01 0.01 0.032
0.04 0.042 0.03 0.032 0.042
0.062 0.042 0.056 0.048 0.034
0.01 0.006 0 0 0
0 0 0.164 0.032 0
0 0 0 0 0
0 0 0.016 0.034 0.052
0.044 0.028 0.008 0 0.002
0.004 0.014 0.018 0.038 0.052
0.038 0.01 0.004 0.014 0.028
0.048 0.03 0.028 0.028 0.03
0.028 0.042 0.022 0.042 0.03
0.044 0.022 0.004 0.002 0
0 0 0 0 0
0 0 0 0.014 0.044
0.088 0.018 0.002 0 0
0 0 0 0.004 0.016
0.048 0.046 0.044 0.008 0.006
0.004 0.01 0.01 0.034 0.05
0.05 0.022 0.002 0.008 0.026
0.042 0.046 0.026 0.028 0.036
0.03 0.05 0.044 0.034 0.048
0.042 0.018 0.002 0 0
0 0 0 0 0
0 0 0 0 0.002
0.016 0.042 0.074 0.042 0.01
0.002 0 0 0 0.002
0.01 0.026 0.036 0.044 0.036
0.004 0.004 0.002 0.02 0.036
0.042 0.036 0.02 0.012 0.016
0.04 0.042 0.038 0.022 0.042
0.028 0.05 0.042 0.05 0.04
0.054 0.012 0.004 0.002 0
0 0 0 0 0
0 0 0 0 0
0 0.004 0.02 0.044 0.072
0.026 0.014 0.006 0 0.002
0 0.012 0.016 0.056 0.06
0.036 0.008 0.004 0.002 0.02
0.026 0.046 0.022 0.022 0.004
0.032 0.024 0.05 0.038 0.038
0.056 0.042 0.048 0.056 0.04
0.04 0.012 0.002 0 0
0 0 0 0.134 0.042
0 0 0 0 0
0 0 0.004 0.016 0.032
0.036 0.038 0.024 0.006 0.002
0 0.002 0.018 0.03 0.036
0.056 0.028 0.016 0.002 0.016
0.022 0.048 0.034 0.028 0.018
0.03 0.046 0.04 0.044 0.032
0.038 0.038 0.034 0.004 0.006
0 0 0 0 0
0 0 0 0 0.012
0.046 0.094 0.044 0.002 0
0 0 0 0 0.008
0.018 0.026 0.044 0.04 0.014
0.002 0 0.006 0.01 0.022
0.056 0.038 0.018 0.012 0.006
0.014 0.03 0.036 0.056 0.024
0.024 0.06 0.046 0.04 0.038
